Departure,Return,Departure station id,Departure station name,Return station id,Return station name,Covered distance (m),Duration (sec.)
2021-05-31T15:29:54,2021-05-31T15:32:07,103,Vihdintie,104,Kriikunakuja,478,131
2021-05-31T15:29:40,2021-05-31T16:55:35,126,Kalasatama (M),122,Lintulahdenkatu,1164,438
2021-05-31T15:29:39,2021-05-31T15:57:23,239,Viikin tiedepuisto,137,Arabian kauppakeskus,4623,1660
2021-05-31T15:29:39,2021-05-31T15:40:52,116,Linnanmäki,021,Töölönlahdenkatu,2583,666
2021-05-31T15:29:33,2021-05-31T16:17:19,022,Rautatientori / länsi,058,Lauttasaarensilta,3682,1121
2021-05-31T15:29:32,2021-05-31T15:48:48,309,Kaivonkatsojanpuisto,274,Voikukantie,3959,1151
2021-05-31T15:29:24,2021-05-31T15:40:32,088,Kiskontie,039,Ooppera,2505,664
2021-05-31T15:29:22,2021-05-31T15:57:18,239,Viikin tiedepuisto,137,Arabian kauppakeskus,4790,1675
2021-05-31T15:29:09,2021-05-31T15:41:53,133,Paavalinpuisto,126,Kalasatama (M),1870,761
2021-05-31T15:29:07,2021-05-31T15:41:18,133,Paavalinpuisto,126,Kalasatama (M),1850,727
2021-05-31T15:29:07,2021-05-31T15:47:50,060,Kaapelitehdas,078,Messeniuksenkatu,3442,1120
2021-05-31T15:29:06,2021-05-31T15:30:32,033,Kauppakorkeakoulu,033,Kauppakorkeakoulu,2,84
2021-05-31T15:29:04,2021-05-31T15:57:12,069,Kalevankatu,501,Hanasaari,5296,1684
2021-05-31T15:28:59,2021-05-31T16:18:17,285,Orpaanporras,285,Orpaanporras,3072,2957
2021-05-31T15:28:58,2021-05-31T15:54:41,306,Kauppakeskus Columbus,275,Itäkeskus (M),4710,1538
2021-05-31T15:28:58,2021-05-31T16:19:39,285,Orpaanporras,285,Orpaanporras,3050,3036
2021-05-31T15:28:58,2021-05-31T15:38:24,078,Messeniuksenkatu,038,Töölöntori,1180,563
2021-05-31T15:28:57,2021-05-31T15:35:27,003,Kapteeninpuistikko,024,Mannerheimintie,1341,386
2021-05-31T15:28:56,2021-05-31T15:52:23,143,Kuikkarinne,055,Puistokaari,2648,1403
2021-05-31T15:28:48,2021-05-31T15:45:19,030,Itämerentori,077,Nordenskiöldinaukio,2801,992
2021-05-31T15:28:45,2021-05-31T15:40:41,038,Töölöntori,017,Varsapuistikko,2454,714
2021-05-31T15:28:42,2021-05-31T15:36:21,141,Intiankatu,133,Paavalinpuisto,1198,456
2021-05-31T15:28:28,2021-05-31T15:44:50,139,Muotoilijankatu,118,Fleminginkatu,3132,981
2021-05-31T15:28:23,2021-05-31T15:32:13,258,Abraham Wetterin tie,260,Herttoniemi (M),863,228
2021-05-31T15:28:22,2021-05-31T15:39:12,900,Orionintie,651,Suurpellonaukio,2013,649
2021-05-31T15:28:19,2021-05-31T15:38:30,078,Messeniuksenkatu,038,Töölöntori,1194,596
2021-05-31T15:28:13,2021-05-31T15:56:45,126,Kalasatama (M),259,Petter Wetterin tie,4241,1707
2021-05-31T15:28:08,2021-05-31T15:51:40,105,Tilkantori,025,Narinkka,4704,1404
2021-05-31T15:28:05,2021-05-31T15:35:29,013,Merisotilaantori,016,Liisanpuistikko,1713,442
2021-05-31T15:27:58,2021-05-31T15:31:36,241,Agronominkatu,241,Agronominkatu,261,213
2021-05-31T15:27:52,2021-05-31T15:58:05,215,Pitäjänmäen asema,209,Takomotie,2991,1810
2021-05-31T15:27:50,2021-05-31T15:35:25,013,Merisotilaantori,016,Liisanpuistikko,1760,452
2021-05-31T15:27:47,2021-05-31T15:38:01,109,Hertanmäenkatu,103,Vihdintie,2305,609
2021-05-31T15:27:43,2021-05-31T15:57:42,107,Tenholantie,024,Mannerheimintie,4443,1797
2021-05-31T15:27:33,2021-05-31T15:27:54,126,Kalasatama (M),126,Kalasatama (M),0,17
2021-05-31T15:27:31,2021-05-31T15:35:08,280,Puotilan ostoskeskus,277,Marjaniemi,1464,452
2021-05-31T15:27:30,2021-05-31T15:31:21,547,Jämeräntaival,541,"Aalto-yliopisto (M), Korkeakouluaukio",684,226
2021-05-31T15:27:17,2021-05-31T15:51:35,110,Maistraatintori,025,Narinkka,4098,1455
2021-05-31T15:27:13,2021-05-31T15:50:15,207,Vanha Viertotie,076,Olympiastadion,4316,1379
2021-05-31T15:27:03,2021-05-31T15:27:23,258,Abraham Wetterin tie,258,Abraham Wetterin tie,0,21
2021-05-31T15:27:00,2021-05-31T15:49:29,049,Annankatu,111,Esterinportti,4322,1345
2021-05-31T15:26:59,2021-05-31T15:51:43,126,Kalasatama (M),107,Tenholantie,4727,1479
2021-05-31T15:26:52,2021-05-31T15:49:03,009,Erottajan aukio,016,Liisanpuistikko,1574,1328
2021-05-31T15:26:50,2021-05-31T15:43:46,553,Metsänneidonpolku,731,Leppävaarankäytävä,5076,1016
2021-05-31T15:26:43,2021-05-31T15:30:04,719,Säteri,707,Majurinkulma,862,207
2021-05-31T15:26:42,2021-05-31T15:43:52,581,Niittykumpu (M),643,Auringonkatu,2068,1029
2021-05-31T15:26:40,2021-05-31T15:34:58,727,Ratsutori,707,Majurinkulma,1402,494
