Departure,Return,Departure station id,Departure station name,Return station id,Return station name,Covered distance (m),Duration (sec.)
20Tomato€21-01-31T15:29:33,2021-01-31T16:17:19,022,Rautatientori / länsi,058,Lauttasaarensilta,3682,1121
2022-02-31T15:29:33,2022-02-31T16:17:19,022,Rautatientori / länsi,058,Lauttasaarensilta,3682,1121,621
2023-03-31T15:29:33,2023-03-31T16:17:19,022,Rautatientori / länsi,058,Lauttasaarensilta,3682
2024-04-31T15:29:33,2024-04-31T16:17:19,022,Rautatientori / länsi,058,Lauttasaarensilta,368potato2,11tom21

2021-05-31T22:58:45,2021-05-31T22:59:06,121,Vilhonvuorenkatu,121,Vilhonvuorenkatu,0,17
2021-05-31T22:55:42,2021-05-31T22:56:03,262,Siilitie (M),262,Siilitie (M),0,17
2021-05-31T15:29:39,2021-05-31T15:57:23,239,Viikin tiedepuisto,137,Arabian kauppakeskus,4623,1660
2021-05-31T15:29:39,2021-05-31T15:40:52,116,Linnanmäki,021,Töölönlahdenkatu,2583,666
2021-05-31T15:29:33,2021-05-31T16:17:19,022,Rautatientori / länsi,058,Lauttasaarensilta,3682,1121
2021-05-31T15:29:32,2021-05-31T15:48:48,309,Kaivonkatsojanpuisto,274,Voikukantie,3959,1151
2021-05-31T15:29:24,2021-05-31T15:40:32,088,Kiskontie,039,Ooppera,2505,664
2021-05-31T15:29:22,2021-05-31T15:57:18,239,Viikin tiedepuisto,137,Arabian kauppakeskus,4790,1675
2021-05-31T15:29:09,2021-05-31T15:41:53,133,Paavalinpuisto,126,Kalasatama (M),1870,761
2021-05-31T15:29:07,2021-05-31T15:47:50,060,Kaapelitehdas,078,Messeniuksenkatu,3442,1120
2021-05-31T15:29:54,2021-05-31T15:32:07,103,Vihdintie,104,Kriikunakuja,478,131
2021-05-31T15:29:40,2021-05-31T16:55:35,126,Kalasatama (M),122,Lintulahdenkatu,1164,438
2021-05-31T15:29:39,2021-05-31T15:57:23,239,Viikin tiedepuisto,137,Arabian kauppakeskus,4623,1660
2021-05-31T15:29:39,2021-05-31T15:40:52,116,Linnanmäki,021,Töölönlahdenkatu,2583,666
2021-05-31T10:50:54,2021-05-31T10:52:29,754,Lintumetsä,997,Workshop Helsinki,16,90
2021-05-31T15:29:33,2021-05-31T16:17:19,022,Rautatientori / länsi,058,Lauttasaarensilta,3682,1121
2021-05-31T15:29:32,2021-05-31T15:48:48,309,Kaivonkatsojanpuisto,274,Voikukantie,3959,1151
2021-05-31T15:29:24,2021-05-31T15:40:32,088,Kiskontie,039,Ooppera,2505,664
2021-05-31T15:29:22,2021-05-31T15:57:18,239,Viikin tiedepuisto,137,Arabian kauppakeskus,4790,1675
2021-05-31T15:29:09,2021-05-31T15:41:53,133,Paavalinpuisto,126,Kalasatama (M),1870,761
2021-05-31T15:29:07,2021-05-31T15:47:50,060,Kaapelitehdas,078,Messeniuksenkatu,3442,1120
2021-05-31T23:34:08,2021-05-31T23:35:13,016,Liisanpuistikko,016,Liisanpuistikko,0,61
2021-05-31T23:07:55,2021-05-31T23:08:18,294,Postipuisto,294,Postipuisto,0,21
2021-05-31T22:54:46,2021-05-31T22:55:09,262,Siilitie (M),262,Siilitie (M),0,18
2021-05-31T22:53:55,2021-05-31T22:54:18,262,Siilitie (M),262,Siilitie (M),0,18
2021-05-31T22:28:25,2021-05-31T22:28:35,117,Brahen puistikko,117,Brahen puistikko,0,9
2021-05-31T22:01:22,2021-05-31T22:01:33,060,Kaapelitehdas,060,Kaapelitehdas,0,9
2021-05-31T21:59:31,2021-05-31T22:00:09,001,Kaivopuisto,001,Kaivopuisto,2,34
2021-05-31T21:56:33,2021-05-31T21:56:54,069,Kalevankatu,069,Kalevankatu,0,16
2021-05-31T15:29:54,2021-05-31T15:32:07,103,Vihdintie,104,Kriikunakuja,478,131
2021-05-31T15:29:40,2021-05-31T16:55:35,126,Kalasatama (M),122,Lintulahdenkatu,1164,438
